,cost,number_of_fragments,complexity
212,16400.0,3,1000000
213,4557.5,4,1000000
214,2714.166666666667,5,1000000
215,154666666.6666667,1,1000000
216,225416.66666666672,2,1000000
217,18308.333333333336,3,1000000
218,5610.0,4,1000000
219,3169.0000000000005,5,1000000
220,154666666.6666667,1,1000000
221,148916.6666666667,2,1000000
222,16073.333333333336,3,1000000
223,4442.5,4,1000000
224,3209.166666666667,5,1000000
225,154666666.6666667,1,1000000
226,196383.33333333337,2,1000000
227,14945.833333333336,3,1000000
228,5330.500000000001,4,1000000
229,3397.6666666666665,5,1000000
230,154666666.6666667,1,1000000
231,170133.33333333337,2,1000000
232,17918.333333333336,3,1000000
233,4805.0,4,1000000
234,3255.166666666667,5,1000000
235,154666666.6666667,1,1000000
236,159333.33333333337,2,1000000
237,16400.0,3,1000000
238,8286.666666666668,4,1000000
239,3998.333333333334,5,1000000
240,154666666.6666667,1,1000000
241,159333.33333333337,2,1000000
242,16400.0,3,1000000
243,5408.333333333334,4,1000000
244,2596.666666666667,5,1000000
245,154666666.6666667,1,1000000
246,510266.66666666674,2,1000000
247,16400.0,3,1000000
248,7656.666666666668,4,1000000
249,2401.666666666667,5,1000000
250,1546666.666666667,1,10000
251,15933.333333333336,2,10000
252,4698.333333333334,3,10000
253,1775.0,4,10000
254,1116.1666666666667,5,10000
255,1546666.666666667,1,10000
256,15933.333333333336,2,10000
257,3188.333333333334,3,10000
258,1885.0,4,10000
259,1156.1666666666667,5,10000
260,1546666.666666667,1,10000
261,15933.333333333336,2,10000
262,3515.833333333334,3,10000
263,1686.666666666667,4,10000
264,1045.6666666666667,5,10000
265,1546666.666666667,1,10000
266,20058.333333333336,2,10000
267,3813.333333333334,3,10000
268,1790.0,4,10000
269,861.1666666666669,5,10000
270,1546666.666666667,1,10000
271,15933.333333333336,2,10000
272,3663.333333333334,3,10000
273,2792.0,4,10000
274,2583.0,5,10000
275,1546666.666666667,1,10000
276,15933.333333333336,2,10000
277,5018.333333333334,3,10000
278,1686.666666666667,4,10000
279,950.6666666666666,5,10000
280,1546666.666666667,1,10000
281,15933.333333333336,2,10000
282,3343.333333333334,3,10000
283,1827.0,4,10000
284,949.6666666666666,5,10000
285,1546666.666666667,1,10000
286,20891.66666666667,2,10000
287,4235.833333333334,3,10000
288,1788.666666666667,4,10000
289,1151.1666666666667,5,10000
290,1546666.666666667,1,10000
291,15933.333333333336,2,10000
292,2878.333333333334,3,10000
293,1686.666666666667,4,10000
294,1131.1666666666667,5,10000
295,1546666.666666667,1,10000
296,15933.333333333336,2,10000
297,3438.333333333334,3,10000
298,1895.0,4,10000
299,1133.1666666666667,5,10000
300,1546666.666666667,1,10000
301,21633.333333333336,2,10000
302,3605.833333333334,3,10000
303,2235.8333333333335,4,10000
304,925.6666666666666,5,10000
305,1546666.666666667,1,10000
306,15933.333333333336,2,10000
307,3988.333333333334,3,10000
308,1590.0,4,10000
309,1097.6666666666667,5,10000
310,1546666.666666667,1,10000
311,15933.333333333336,2,10000
312,4758.333333333334,3,10000
313,1445.0,4,10000
314,969.6666666666666,5,10000
315,1546666.666666667,1,10000
316,15933.333333333336,2,10000
317,3563.333333333334,3,10000
318,1686.666666666667,4,10000
319,1176.6666666666667,5,10000
320,1546666.666666667,1,10000
321,15933.333333333336,2,10000
322,2928.333333333334,3,10000
323,1686.666666666667,4,10000
324,1126.1666666666667,5,10000
325,1546666.666666667,1,10000
326,31346.66666666667,2,10000
327,3318.333333333334,3,10000
328,1765.5,4,10000
329,918.1666666666666,5,10000
330,1546666.666666667,1,10000
331,22616.66666666667,2,10000
332,3978.333333333334,3,10000
333,1555.0,4,10000
334,1301.666666666667,5,10000
335,1546666.666666667,1,10000
336,21003.333333333336,2,10000
337,4213.333333333334,3,10000
338,1207.5,4,10000
339,856.6666666666669,5,10000
340,1546666.666666667,1,10000
341,15933.333333333336,2,10000
342,3903.333333333334,3,10000
343,1686.666666666667,4,10000
344,1293.1666666666667,5,10000
345,1546666.666666667,1,10000
346,15933.333333333336,2,10000
347,4268.333333333334,3,10000
348,1686.666666666667,4,10000
349,1154.1666666666667,5,10000
350,1546666.666666667,1,10000
351,17816.666666666668,2,10000
352,3468.333333333334,3,10000
353,1885.0,4,10000
354,993.1666666666666,5,10000
355,1546666.666666667,1,10000
356,15933.333333333336,2,10000
357,2892.5,3,10000
358,1800.666666666667,4,10000
359,1350.6666666666667,5,10000
360,1546666.666666667,1,10000
361,14073.333333333336,2,10000
362,3368.333333333334,3,10000
363,1281.666666666667,4,10000
364,1067.6666666666667,5,10000
365,1546666.666666667,1,10000
366,19091.666666666668,2,10000
367,3768.333333333334,3,10000
368,2112.5,4,10000
369,1015.1666666666669,5,10000
370,1546666.666666667,1,10000
371,15933.333333333336,2,10000
372,3058.333333333334,3,10000
373,1686.666666666667,4,10000
374,979.1666666666669,5,10000
375,1546666.666666667,1,10000
376,15933.333333333336,2,10000
377,3418.333333333334,3,10000
378,1715.0,4,10000
379,1065.6666666666667,5,10000
380,1546666.666666667,1,10000
381,16616.666666666668,2,10000
382,4070.0,3,10000
383,1627.5,4,10000
384,981.1666666666669,5,10000
385,1546666.666666667,1,10000
386,15933.333333333336,2,10000
387,3323.333333333334,3,10000
388,1740.0,4,10000
389,1042.1666666666667,5,10000
390,1546666.666666667,1,10000
391,15933.333333333336,2,10000
392,3330.833333333334,3,10000
393,1676.166666666667,4,10000
394,1122.1666666666667,5,10000
395,1546666.666666667,1,10000
396,12341.666666666668,2,10000
397,3635.0,3,10000
398,1686.666666666667,4,10000
399,1091.6666666666667,5,10000
400,1546666.666666667,1,10000
401,17433.333333333336,2,10000
402,3313.333333333334,3,10000
403,1902.5,4,10000
404,1147.6666666666667,5,10000
405,1546666.666666667,1,10000
406,15933.333333333336,2,10000
407,5540.0,3,10000
408,1266.666666666667,4,10000
409,993.6666666666669,5,10000
410,1546666.666666667,1,10000
411,15933.333333333336,2,10000
412,2665.833333333334,3,10000
413,1898.3333333333337,4,10000
414,1079.5000000000002,5,10000
415,1546666.666666667,1,10000
416,15543.333333333336,2,10000
417,3405.833333333334,3,10000
418,2170.0,4,10000
419,1145.6666666666667,5,10000
420,1546666.666666667,1,10000
421,19241.666666666668,2,10000
422,2903.333333333334,3,10000
423,1769.0000000000005,4,10000
424,1270.6666666666667,5,10000
425,1546666.666666667,1,10000
426,21633.333333333336,2,10000
427,3585.333333333333,3,10000
428,1782.5,4,10000
429,1631.0000000000002,5,10000
430,1546666.666666667,1,10000
431,11868.333333333336,2,10000
432,3328.333333333334,3,10000
433,1509.6666666666667,4,10000
434,825.6666666666666,5,10000
435,1546666.666666667,1,10000
436,15933.333333333336,2,10000
437,3063.333333333334,3,10000
438,1850.0,4,10000
439,1224.1666666666667,5,10000
440,1546666.666666667,1,10000
441,13166.66666666667,2,10000
442,4025.0,3,10000
443,1220.0,4,10000
444,1010.5,5,10000
445,1546666.666666667,1,10000
446,15933.333333333336,2,10000
447,4043.333333333334,3,10000
448,1686.666666666667,4,10000
449,1273.1666666666667,5,10000
450,1546666.666666667,1,10000
451,17441.666666666668,2,10000
452,3543.333333333334,3,10000
453,1630.0,4,10000
454,1158.6666666666667,5,10000
455,1546666.666666667,1,10000
456,15933.333333333336,2,10000
457,4083.333333333334,3,10000
458,1677.5,4,10000
459,974.1666666666669,5,10000
460,1546666.666666667,1,10000
461,16541.666666666668,2,10000
462,3555.833333333334,3,10000
463,1635.0,4,10000
464,1123.1666666666667,5,10000
465,1546666.666666667,1,10000
466,19916.66666666667,2,10000
467,3725.0,3,10000
468,1722.5,4,10000
469,1103.6666666666667,5,10000
470,1546666.666666667,1,10000
471,15933.333333333336,2,10000
472,4175.0,3,10000
473,1686.666666666667,4,10000
474,1166.1666666666667,5,10000
475,1546666.666666667,1,10000
476,15933.333333333336,2,10000
477,2555.0,3,10000
478,1686.666666666667,4,10000
479,984.1666666666669,5,10000
480,1546666.666666667,1,10000
481,13548.333333333336,2,10000
482,3438.333333333334,3,10000
483,1814.0000000000005,4,10000
484,1197.6666666666667,5,10000
485,1546666.666666667,1,10000
486,15933.333333333336,2,10000
487,4677.5,3,10000
488,1541.166666666667,4,10000
489,981.1666666666669,5,10000
490,1546666.666666667,1,10000
491,15933.333333333336,2,10000
492,4178.333333333334,3,10000
493,1686.666666666667,4,10000
494,1255.166666666667,5,10000
495,1546666.666666667,1,10000
496,12626.666666666668,2,10000
497,2788.333333333334,3,10000
498,1463.5000000000002,4,10000
499,835.1666666666669,5,10000
500,1546666666666.667,1,10000000000
501,16691666.66666667,2,10000000000
502,503833.33333333343,3,10000000000
503,77400.0,4,10000000000
504,37611.66666666667,5,10000000000
505,1546666666666.667,1,10000000000
506,19638333.333333336,2,10000000000
507,450833.33333333343,3,10000000000
508,54083.33333333334,4,10000000000
509,21741.66666666667,5,10000000000
510,1546666666666.667,1,10000000000
511,19391666.666666668,2,10000000000
512,349333.3333333334,3,10000000000
513,55000.0,4,10000000000
514,21954.16666666667,5,10000000000
515,1546666666666.667,1,10000000000
516,15266666.66666667,2,10000000000
517,341750.0,3,10000000000
518,47750.0,4,10000000000
519,18726.666666666668,5,10000000000
520,1546666666666.667,1,10000000000
521,15933333.333333336,2,10000000000
522,320833.3333333334,3,10000000000
523,57575.0,4,10000000000
524,19531.666666666668,5,10000000000
525,1546666666666.667,1,10000000000
526,15933333.333333336,2,10000000000
527,353833.3333333334,3,10000000000
528,58600.0,4,10000000000
529,18681.666666666668,5,10000000000
530,1546666666666.667,1,10000000000
531,22391666.66666667,2,10000000000
532,390333.3333333334,3,10000000000
533,62250.0,4,10000000000
534,22706.66666666667,5,10000000000
535,1546666666666.667,1,10000000000
536,20591666.66666667,2,10000000000
537,335833.3333333334,3,10000000000
538,70850.0,4,10000000000
539,18226.666666666668,5,10000000000
540,1546666666666.667,1,10000000000
541,20066666.666666668,2,10000000000
542,441333.33333333343,3,10000000000
543,62020.0,4,10000000000
544,16461.666666666668,5,10000000000
545,1546666666666.667,1,10000000000
546,18378333.333333336,2,10000000000
547,458000.0,3,10000000000
548,48300.0,4,10000000000
549,16356.66666666667,5,10000000000
550,1546666666666.667,1,10000000000
551,25045833.333333336,2,10000000000
552,341750.0,3,10000000000
553,58941.66666666668,4,10000000000
554,16976.666666666668,5,10000000000
555,1546666666666.667,1,10000000000
556,15933333.333333336,2,10000000000
557,453533.33333333343,3,10000000000
558,51050.0,4,10000000000
559,16066.66666666667,5,10000000000
560,1546666666666.667,1,10000000000
561,15933333.333333336,2,10000000000
562,351333.3333333334,3,10000000000
563,45250.0,4,10000000000
564,21506.66666666667,5,10000000000
565,1546666666666.667,1,10000000000
566,21866666.66666667,2,10000000000
567,378333.3333333334,3,10000000000
568,63350.0,4,10000000000
569,18654.166666666668,5,10000000000
570,1546666666666.667,1,10000000000
571,15933333.333333336,2,10000000000
572,372833.3333333334,3,10000000000
573,51533.33333333334,4,10000000000
574,18941.666666666668,5,10000000000
575,1546666666666.667,1,10000000000
576,20688333.333333336,2,10000000000
577,346333.3333333334,3,10000000000
578,58583.33333333334,4,10000000000
579,22572.5,5,10000000000
580,1546666666666.667,1,10000000000
581,15933333.333333336,2,10000000000
582,450708.33333333343,3,10000000000
583,50730.0,4,10000000000
584,18340.166666666668,5,10000000000
585,1546666666666.667,1,10000000000
586,22053333.333333336,2,10000000000
587,389000.0,3,10000000000
588,74091.66666666667,4,10000000000
589,18399.166666666668,5,10000000000
590,1546666666666.667,1,10000000000
591,21641666.66666667,2,10000000000
592,447583.33333333343,3,10000000000
593,61125.0,4,10000000000
594,20491.66666666667,5,10000000000
595,1546666666666.667,1,10000000000
596,15933333.333333336,2,10000000000
597,458000.0,3,10000000000
598,79716.66666666669,4,10000000000
599,17333.333333333336,5,10000000000
600,1546666666666.667,1,10000000000
601,23628333.333333336,2,10000000000
602,356583.3333333334,3,10000000000
603,59783.33333333334,4,10000000000
604,21575.0,5,10000000000
605,1546666666666.667,1,10000000000
606,17725833.333333336,2,10000000000
607,413258.3333333334,3,10000000000
608,54816.66666666668,4,10000000000
609,17305.0,5,10000000000
610,1546666666666.667,1,10000000000
611,18941666.666666668,2,10000000000
612,257333.33333333337,3,10000000000
613,45850.0,4,10000000000
614,26441.66666666667,5,10000000000
615,1546666666666.667,1,10000000000
616,17291666.666666668,2,10000000000
617,651500.0,3,10000000000
618,58350.0,4,10000000000
619,19491.666666666668,5,10000000000
620,1546666666666.667,1,10000000000
621,15933333.333333336,2,10000000000
622,462500.0,3,10000000000
623,57666.66666666668,4,10000000000
624,17333.333333333336,5,10000000000
625,1546666666666.667,1,10000000000
626,15933333.333333336,2,10000000000
627,386333.3333333334,3,10000000000
628,84741.66666666669,4,10000000000
629,21225.0,5,10000000000
630,1546666666666.667,1,10000000000
631,15933333.333333336,2,10000000000
632,1351250.0,3,10000000000
633,90516.66666666669,4,10000000000
634,19628.333333333336,5,10000000000
635,1546666666666.667,1,10000000000
636,15933333.333333336,2,10000000000
637,588500.0,3,10000000000
638,47766.66666666667,4,10000000000
639,17333.333333333336,5,10000000000
640,1546666666666.667,1,10000000000
641,15933333.333333336,2,10000000000
642,401000.0,3,10000000000
643,77575.0,4,10000000000
644,17296.666666666668,5,10000000000
645,1546666666666.667,1,10000000000
646,19016666.666666668,2,10000000000
647,427250.0,3,10000000000
648,51425.0,4,10000000000
649,19797.5,5,10000000000
650,1546666666666.667,1,10000000000
651,15933333.333333336,2,10000000000
652,498500.0,3,10000000000
653,62950.0,4,10000000000
654,16466.666666666668,5,10000000000
655,1546666666666.667,1,10000000000
656,15933333.333333336,2,10000000000
657,348833.3333333334,3,10000000000
658,76050.0,4,10000000000
659,27485.0,5,10000000000
660,1546666666666.667,1,10000000000
661,22241666.66666667,2,10000000000
662,402333.3333333334,3,10000000000
663,57550.0,4,10000000000
664,16376.66666666667,5,10000000000
665,1546666666666.667,1,10000000000
666,20591666.66666667,2,10000000000
667,503000.0,3,10000000000
668,64050.0,4,10000000000
669,19416.666666666668,5,10000000000
670,1546666666666.667,1,10000000000
671,16309166.66666667,2,10000000000
672,397733.3333333334,3,10000000000
673,53320.0,4,10000000000
674,19148.333333333336,5,10000000000
675,1546666666666.667,1,10000000000
676,15933333.333333336,2,10000000000
677,390500.0,3,10000000000
678,64283.33333333334,4,10000000000
679,22733.333333333336,5,10000000000
680,1546666666666.667,1,10000000000
681,16961666.666666668,2,10000000000
682,369833.3333333334,3,10000000000
683,50965.0,4,10000000000
684,30081.66666666667,5,10000000000
685,1546666666666.667,1,10000000000
686,15933333.333333336,2,10000000000
687,449833.33333333343,3,10000000000
688,72250.0,4,10000000000
689,18916.666666666668,5,10000000000
690,1546666666666.667,1,10000000000
691,15933333.333333336,2,10000000000
692,365333.3333333334,3,10000000000
693,56483.33333333334,4,10000000000
694,20125.0,5,10000000000
695,1546666666666.667,1,10000000000
696,18375745.833333336,2,10000000000
697,3948825.833333334,3,10000000000
698,892532.5,4,10000000000
699,876163.1666666669,5,10000000000
700,1546666666666.667,1,10000000000
701,15933333.333333336,2,10000000000
702,500833.33333333343,3,10000000000
703,56250.0,4,10000000000
704,19941.66666666667,5,10000000000
705,1546666666666.667,1,10000000000
706,15933333.333333336,2,10000000000
707,516500.0,3,10000000000
708,79266.66666666669,4,10000000000
709,17333.333333333336,5,10000000000
710,1546666666666.667,1,10000000000
711,19766666.666666668,2,10000000000
712,400833.3333333334,3,10000000000
713,76650.0,4,10000000000
714,17341.666666666668,5,10000000000
715,1546666666666.667,1,10000000000
716,17530833.333333336,2,10000000000
717,351350.0,3,10000000000
718,51380.0,4,10000000000
719,17265.0,5,10000000000
720,1546666666666.667,1,10000000000
721,15933333.333333336,2,10000000000
722,423500.0,3,10000000000
723,44033.33333333334,4,10000000000
724,18786.666666666668,5,10000000000
725,1546666666666.667,1,10000000000
726,19991666.666666668,2,10000000000
727,463833.33333333343,3,10000000000
728,47875.0,4,10000000000
729,14966.66666666667,5,10000000000
730,1546666666666.667,1,10000000000
731,17216666.666666668,2,10000000000
732,418250.0,3,10000000000
733,62825.0,4,10000000000
734,17041.666666666668,5,10000000000
735,1546666666666.667,1,10000000000
736,15933333.333333336,2,10000000000
737,584000.0,3,10000000000
738,72966.66666666667,4,10000000000
739,17333.333333333336,5,10000000000
740,1546666666666.667,1,10000000000
741,17958333.333333336,2,10000000000
742,393733.3333333334,3,10000000000
743,51683.33333333334,4,10000000000
744,24775.0,5,10000000000
745,1546666666666.667,1,10000000000
746,26568333.333333336,2,10000000000
747,420500.0,3,10000000000
748,63983.33333333334,4,10000000000
749,18675.0,5,10000000000
750,15466666666.66667,1,100000000
751,1648833.3333333335,2,100000000
752,57858.33333333334,3,100000000
753,13895.0,4,100000000
754,6599.166666666668,5,100000000
755,15466666666.66667,1,100000000
756,8244333.333333335,2,100000000
757,97250.0,3,100000000
758,23076.66666666667,4,100000000
759,9518.333333333334,5,100000000
760,15466666666.66667,1,100000000
761,1593333.3333333335,2,100000000
762,96583.33333333334,3,100000000
763,16866.666666666668,4,100000000
764,9245.0,5,100000000
765,15466666666.66667,1,100000000
766,1684166.666666667,2,100000000
767,147333.33333333334,3,100000000
768,35360.0,4,100000000
769,6471.666666666668,5,100000000
770,15466666666.66667,1,100000000
771,2017083.3333333337,2,100000000
772,89083.33333333334,3,100000000
773,15608.333333333336,4,100000000
774,7331.666666666668,5,100000000
775,15466666666.66667,1,100000000
776,1593333.3333333335,2,100000000
777,81050.0,3,100000000
778,16866.666666666668,4,100000000
779,8618.333333333334,5,100000000
780,15466666666.66667,1,100000000
781,3498333.333333334,2,100000000
782,74633.33333333334,3,100000000
783,22191.66666666667,4,100000000
784,7958.333333333335,5,100000000
785,15466666666.66667,1,100000000
786,1593333.3333333335,2,100000000
787,93183.33333333334,3,100000000
788,20800.0,4,100000000
789,6351.666666666668,5,100000000
790,15466666666.66667,1,100000000
791,1593333.3333333335,2,100000000
792,77533.33333333334,3,100000000
793,21440.0,4,100000000
794,5889.166666666668,5,100000000
795,15466666666.66667,1,100000000
796,1999166.666666667,2,100000000
797,109833.33333333336,3,100000000
798,21150.0,4,100000000
799,9140.666666666666,5,100000000
800,15466666666.66667,1,100000000
801,2298333.3333333335,2,100000000
802,61733.33333333334,3,100000000
803,32192.5,4,100000000
804,5839.166666666668,5,100000000
805,15466666666.66667,1,100000000
806,1946666.666666667,2,100000000
807,78133.33333333334,3,100000000
808,20512.5,4,100000000
809,6634.166666666668,5,100000000
810,15466666666.66667,1,100000000
811,2359166.666666667,2,100000000
812,72133.33333333334,3,100000000
813,16900.0,4,100000000
814,7450.0,5,100000000
815,15466666666.66667,1,100000000
816,1414166.666666667,2,100000000
817,87800.0,3,100000000
818,15150.0,4,100000000
819,9201.666666666668,5,100000000
820,15466666666.66667,1,100000000
821,3350666.666666667,2,100000000
822,60083.33333333334,3,100000000
823,20800.0,4,100000000
824,9041.666666666668,5,100000000
825,15466666666.66667,1,100000000
826,2102666.666666667,2,100000000
827,68533.33333333334,3,100000000
828,17160.0,4,100000000
829,6355.0,5,100000000
830,15466666666.66667,1,100000000
831,1516166.666666667,2,100000000
832,84258.33333333334,3,100000000
833,19257.5,4,100000000
834,9674.166666666668,5,100000000
835,15466666666.66667,1,100000000
836,2089833.3333333337,2,100000000
837,68975.0,3,100000000
838,18375.0,4,100000000
839,6927.0,5,100000000
840,15466666666.66667,1,100000000
841,2351666.666666667,2,100000000
842,89558.33333333334,3,100000000
843,19025.0,4,100000000
844,6430.0,5,100000000
845,15466666666.66667,1,100000000
846,1608491.666666667,2,100000000
847,72468.33333333334,3,100000000
848,15027.5,4,100000000
849,7271.666666666668,5,100000000
850,15466666666.66667,1,100000000
851,1593333.3333333335,2,100000000
852,83833.33333333334,3,100000000
853,16305.0,4,100000000
854,7037.5,5,100000000
855,15466666666.66667,1,100000000
856,1593333.3333333335,2,100000000
857,105800.0,3,100000000
858,16866.666666666668,4,100000000
859,6900.0,5,100000000
860,15466666666.66667,1,100000000
861,1999166.666666667,2,100000000
862,98433.33333333334,3,100000000
863,16925.0,4,100000000
864,7310.0,5,100000000
865,15466666666.66667,1,100000000
866,2119166.666666667,2,100000000
867,86683.33333333334,3,100000000
868,17925.0,4,100000000
869,7481.666666666668,5,100000000
870,15466666666.66667,1,100000000
871,1631666.666666667,2,100000000
872,78683.33333333334,3,100000000
873,17850.0,4,100000000
874,11280.666666666668,5,100000000
875,15466666666.66667,1,100000000
876,1593333.3333333335,2,100000000
877,108050.0,3,100000000
878,16866.666666666668,4,100000000
879,9203.333333333334,5,100000000
880,15466666666.66667,1,100000000
881,1689416.666666667,2,100000000
882,82133.33333333334,3,100000000
883,33555.0,4,100000000
884,7669.166666666668,5,100000000
885,15466666666.66667,1,100000000
886,1961666.666666667,2,100000000
887,163558.33333333337,3,100000000
888,18575.0,4,100000000
889,7225.0,5,100000000
890,15466666666.66667,1,100000000
891,1593333.3333333335,2,100000000
892,74187.5,3,100000000
893,15600.833333333336,4,100000000
894,6987.166666666668,5,100000000
895,15466666666.66667,1,100000000
896,2374166.666666667,2,100000000
897,84083.33333333334,3,100000000
898,17745.0,4,100000000
899,6979.166666666668,5,100000000
900,15466666666.66667,1,100000000
901,2066666.666666667,2,100000000
902,77783.33333333334,3,100000000
903,17050.0,4,100000000
